Datetime,Type,Ticker,Fullname,Positions,Share Price,Book Value,Category
2024-11-27 20:00:12,Assets,VOO,Vanguard S&P 500 ETF,30.0,3988.899725327647,119666.9917598294,Investments in US
2024-11-27 20:00:12,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-11-27 20:00:12,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-11-27 20:00:12,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-11-27 20:00:12,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-11-27 20:00:12,Assets,Cash-CNY,Cash in CNY,1262000.0,1.0,1262000.0,Cash in CNY
2024-11-27 20:00:12,Assets,CNY=X,Cash in USD,250.0,7.245299816131592,1811.324954032898,Cash in USD
2024-11-27 20:00:12,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-11-27 20:00:12,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-11-28 20:00:25,Assets,512290.SS,BIO ETF,296900.0,0.9330000281333924,277007.7083528042,Investments in CN
2024-11-28 20:00:25,Assets,DELL,Dell Technology,3031.0,900.9465390479272,2730768.9598542675,Investments in US
2024-11-28 20:00:25,Assets,AMZN,Amazon,179.0,1490.27777766472,266759.72220198484,Investments in US
2024-11-28 20:00:25,Assets,BTC-USD,BTC,3.0,692199.1815883741,2076597.5447651225,Crypto to the Mars
2024-11-28 20:00:25,Assets,DOGE-USD,DOGE,89986.0,2.898865051307652,260857.2705069704,Crypto to the Mars
2024-11-28 20:00:25,Assets,IBKR,Interactive Brokers,4.0653,1385.754011832847,5633.505784304072,Investments in US
2024-11-28 20:00:25,Assets,SOXL,SOXL,4.0,195.4296329623412,781.7185318493648,Investments in US
2024-11-28 20:00:25,Assets,VOO,Vanguard S&P 500 ETF,30.0,3987.908964689442,119637.26894068328,Investments in US
2024-11-28 20:00:25,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-11-28 20:00:25,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-11-28 20:00:25,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-11-28 20:00:25,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-11-28 20:00:25,Assets,Cash-CNY,Cash in CNY,1480000.0,1.0,1480000.0,Cash in CNY
2024-11-28 20:00:25,Assets,CNY=X,Cash in USD,250.0,7.243500232696533,1810.8750581741333,Cash in USD
2024-11-28 20:00:25,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-11-28 20:00:25,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-11-29 20:00:05,Assets,512290.SS,BIO ETF,296900.0,0.9449999928474426,280570.4978764057,Investments in CN
2024-11-29 20:00:05,Assets,DELL,Dell Technology,3031.0,924.121571042313,2801012.4818292507,Investments in US
2024-11-29 20:00:05,Assets,AMZN,Amazon,179.0,1505.726454691452,269525.03538976994,Investments in US
2024-11-29 20:00:05,Assets,BTC-USD,BTC,3.0,702579.3404518738,2107738.021355621,Crypto to the Mars
2024-11-29 20:00:05,Assets,DOGE-USD,DOGE,89986.0,3.0423515730011843,273769.0486480846,Crypto to the Mars
2024-11-29 20:00:05,Assets,IBKR,Interactive Brokers,4.0653,1384.0457143566746,5626.561042574189,Investments in US
2024-11-29 20:00:05,Assets,SOXL,SOXL,4.0,203.23576717755896,812.9430687102358,Investments in US
2024-11-29 20:00:05,Assets,VOO,Vanguard S&P 500 ETF,30.0,4008.583035143965,120257.49105431896,Investments in US
2024-11-29 20:00:05,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-11-29 20:00:05,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-11-29 20:00:05,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-11-29 20:00:05,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-11-29 20:00:05,Assets,Cash-CNY,Cash in CNY,1480000.0,1.0,1480000.0,Cash in CNY
2024-11-29 20:00:05,Assets,CNY=X,Cash in USD,250.0,7.2428998947143555,1810.7249736785889,Cash in USD
